age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,zone,dist_group,main_mode,share
,,,,,,,,0 - 1000,bike,0.03993953574665
,,,,,,,,0 - 1000,car,0.010077686113465548
,,,,,,,,0 - 1000,pt,0.0035575461836548946
,,,,,,,,0 - 1000,ride,0.0037969819009802397
,,,,,,,,0 - 1000,walk,0.22881070677001764
,,,,,,,,1000 - 2000,bike,0.04698342341346555
,,,,,,,,1000 - 2000,car,0.023147292190076742
,,,,,,,,1000 - 2000,pt,0.02007970854535886
,,,,,,,,1000 - 2000,ride,0.010215459406613094
,,,,,,,,1000 - 2000,walk,0.05220619945665914
,,,,,,,,2000 - 5000,bike,0.05624516000252578
,,,,,,,,2000 - 5000,car,0.05164117094781402
,,,,,,,,2000 - 5000,pt,0.07035847284671681
,,,,,,,,2000 - 5000,ride,0.019753111426262702
,,,,,,,,2000 - 5000,walk,0.013501281662145714
,,,,,,,,5000 - 10000,bike,0.02693069701653698
,,,,,,,,5000 - 10000,car,0.05215320525856776
,,,,,,,,5000 - 10000,pt,0.08244750747280563
,,,,,,,,5000 - 10000,ride,0.01397122077983446
,,,,,,,,5000 - 10000,walk,0.001517535520605139
,,,,,,,,10000 - 20000,bike,0.007136782872703979
,,,,,,,,10000 - 20000,car,0.04134445948649564
,,,,,,,,10000 - 20000,pt,0.06385899348452925
,,,,,,,,10000 - 20000,ride,0.007926042173942492
,,,,,,,,10000 - 20000,walk,0.0005273153061550004
,,,,,,,,20000+,bike,0.0006419443250597948
,,,,,,,,20000+,car,0.022309302342807483
,,,,,,,,20000+,pt,0.024771142628339887
,,,,,,,,20000+,ride,0.003944497517436229
,,,,,,,,20000+,walk,0.00020561720177352156
0 - 12,,,,,,,,0 - 1000,bike,0.008517923186350437
0 - 12,,,,,,,,0 - 1000,car,3.3087829984082275e-06
0 - 12,,,,,,,,0 - 1000,pt,0.0002096824780535133
0 - 12,,,,,,,,0 - 1000,ride,0.002029469269805064
0 - 12,,,,,,,,0 - 1000,walk,0.03308803116309243
0 - 12,,,,,,,,1000 - 2000,bike,0.008096522930526682
0 - 12,,,,,,,,1000 - 2000,car,1.4482130927893376e-05
0 - 12,,,,,,,,1000 - 2000,pt,0.0022240552516710867
0 - 12,,,,,,,,1000 - 2000,ride,0.00548244643347418
0 - 12,,,,,,,,1000 - 2000,walk,0.0070833714423778225
0 - 12,,,,,,,,2000 - 5000,bike,0.004071005721068593
0 - 12,,,,,,,,2000 - 5000,car,6.301165237870091e-06
0 - 12,,,,,,,,2000 - 5000,pt,0.005203029203728283
0 - 12,,,,,,,,2000 - 5000,ride,0.008538310331494542
0 - 12,,,,,,,,2000 - 5000,walk,0.0008106474785451107
0 - 12,,,,,,,,5000 - 10000,bike,0.00037547491019678696
0 - 12,,,,,,,,5000 - 10000,car,5.398602409648083e-06
0 - 12,,,,,,,,5000 - 10000,pt,0.002694053920261828
0 - 12,,,,,,,,5000 - 10000,ride,0.004394592866035796
0 - 12,,,,,,,,5000 - 10000,walk,8.967264191923621e-05
0 - 12,,,,,,,,10000 - 20000,bike,7.579848095002919e-06
0 - 12,,,,,,,,10000 - 20000,car,0.0
0 - 12,,,,,,,,10000 - 20000,pt,0.0007491330684292405
0 - 12,,,,,,,,10000 - 20000,ride,0.0018407990404998905
0 - 12,,,,,,,,10000 - 20000,walk,4.039646752471745e-05
0 - 12,,,,,,,,20000+,bike,3.3087829984082275e-06
0 - 12,,,,,,,,20000+,car,0.0
0 - 12,,,,,,,,20000+,pt,0.00030231628953346167
0 - 12,,,,,,,,20000+,ride,0.0004951435481063568
0 - 12,,,,,,,,20000+,walk,2.9887238744409086e-05
12 - 18,,,,,,,,0 - 1000,bike,0.0019792792514497825
12 - 18,,,,,,,,0 - 1000,car,0.0
12 - 18,,,,,,,,0 - 1000,pt,0.00026781913936508694
12 - 18,,,,,,,,0 - 1000,ride,0.00010882485081855171
12 - 18,,,,,,,,0 - 1000,walk,0.007339990685009927
12 - 18,,,,,,,,1000 - 2000,bike,0.004346248067065028
12 - 18,,,,,,,,1000 - 2000,car,0.0
12 - 18,,,,,,,,1000 - 2000,pt,0.001538992156359736
12 - 18,,,,,,,,1000 - 2000,ride,0.00041055227571393845
12 - 18,,,,,,,,1000 - 2000,walk,0.0021890484059849395
12 - 18,,,,,,,,2000 - 5000,bike,0.0052400109508453216
12 - 18,,,,,,,,2000 - 5000,car,1.3804108659462701e-05
12 - 18,,,,,,,,2000 - 5000,pt,0.009673748842012386
12 - 18,,,,,,,,2000 - 5000,ride,0.001574332754614814
12 - 18,,,,,,,,2000 - 5000,walk,0.00036801454994234053
12 - 18,,,,,,,,5000 - 10000,bike,0.0006812006400720527
12 - 18,,,,,,,,5000 - 10000,car,1.3804108659462701e-05
12 - 18,,,,,,,,5000 - 10000,pt,0.007624584361236859
12 - 18,,,,,,,,5000 - 10000,ride,0.001409368305114249
12 - 18,,,,,,,,5000 - 10000,walk,1.723169042141231e-05
12 - 18,,,,,,,,10000 - 20000,bike,6.757042351144588e-05
12 - 18,,,,,,,,10000 - 20000,car,7.453909685531387e-06
12 - 18,,,,,,,,10000 - 20000,pt,0.002722903815289597
12 - 18,,,,,,,,10000 - 20000,ride,0.00043451071899363035
12 - 18,,,,,,,,10000 - 20000,walk,0.0
12 - 18,,,,,,,,20000+,bike,1.831017105587331e-05
12 - 18,,,,,,,,20000+,car,0.0
12 - 18,,,,,,,,20000+,pt,0.000484219630018591
12 - 18,,,,,,,,20000+,ride,0.00024232959934533506
12 - 18,,,,,,,,20000+,walk,2.1501580059874272e-05
18 - 25,,,,,,,,0 - 1000,bike,0.001432221646221816
18 - 25,,,,,,,,0 - 1000,car,0.00029110361309750416
18 - 25,,,,,,,,0 - 1000,pt,0.00023561400016997695
18 - 25,,,,,,,,0 - 1000,ride,0.00012385283120214407
18 - 25,,,,,,,,0 - 1000,walk,0.008069002092563936
18 - 25,,,,,,,,1000 - 2000,bike,0.002028124042469899
18 - 25,,,,,,,,1000 - 2000,car,0.0005968294026813628
18 - 25,,,,,,,,1000 - 2000,pt,0.0014637511700461901
18 - 25,,,,,,,,1000 - 2000,ride,0.00015932274468686333
18 - 25,,,,,,,,1000 - 2000,walk,0.00271524800733926
18 - 25,,,,,,,,2000 - 5000,bike,0.0037726492395604477
18 - 25,,,,,,,,2000 - 5000,car,0.0013884089847483213
18 - 25,,,,,,,,2000 - 5000,pt,0.006534172962434739
18 - 25,,,,,,,,2000 - 5000,ride,0.0006266720094108574
18 - 25,,,,,,,,2000 - 5000,walk,0.0009459002061526505
18 - 25,,,,,,,,5000 - 10000,bike,0.0014564852917102107
18 - 25,,,,,,,,5000 - 10000,car,0.0018238841737853375
18 - 25,,,,,,,,5000 - 10000,pt,0.010082997804321684
18 - 25,,,,,,,,5000 - 10000,ride,0.0007481598039209727
18 - 25,,,,,,,,5000 - 10000,walk,7.971861202079858e-05
18 - 25,,,,,,,,10000 - 20000,bike,0.00013635820530129959
18 - 25,,,,,,,,10000 - 20000,car,0.0014058205836528842
18 - 25,,,,,,,,10000 - 20000,pt,0.008349501211167018
18 - 25,,,,,,,,10000 - 20000,ride,0.0005815231393334991
18 - 25,,,,,,,,10000 - 20000,walk,2.749147329899406e-05
18 - 25,,,,,,,,20000+,bike,2.148829801837644e-05
18 - 25,,,,,,,,20000+,car,0.0011849509687035997
18 - 25,,,,,,,,20000+,pt,0.0030998178565597033
18 - 25,,,,,,,,20000+,ride,0.00032491946082011954
18 - 25,,,,,,,,20000+,walk,5.7083633394889036e-06
25 - 35,,,,,,,,0 - 1000,bike,0.0042852561388654785
25 - 35,,,,,,,,0 - 1000,car,0.0009168183383532765
25 - 35,,,,,,,,0 - 1000,pt,0.0002022489929617155
25 - 35,,,,,,,,0 - 1000,ride,0.0001480562319291914
25 - 35,,,,,,,,0 - 1000,walk,0.035267805475233074
25 - 35,,,,,,,,1000 - 2000,bike,0.006146363435432691
25 - 35,,,,,,,,1000 - 2000,car,0.002462073187140846
25 - 35,,,,,,,,1000 - 2000,pt,0.002223103057206319
25 - 35,,,,,,,,1000 - 2000,ride,0.0004270863548432357
25 - 35,,,,,,,,1000 - 2000,walk,0.008342098773894857
25 - 35,,,,,,,,2000 - 5000,bike,0.010681005886217319
25 - 35,,,,,,,,2000 - 5000,car,0.005405348609556078
25 - 35,,,,,,,,2000 - 5000,pt,0.012636152482188533
25 - 35,,,,,,,,2000 - 5000,ride,0.0010950846328671084
25 - 35,,,,,,,,2000 - 5000,walk,0.002296667696036939
25 - 35,,,,,,,,5000 - 10000,bike,0.00714525178845766
25 - 35,,,,,,,,5000 - 10000,car,0.006469468631623288
25 - 35,,,,,,,,5000 - 10000,pt,0.018514209099342118
25 - 35,,,,,,,,5000 - 10000,ride,0.0011792754801178322
25 - 35,,,,,,,,5000 - 10000,walk,0.00018866159641852678
25 - 35,,,,,,,,10000 - 20000,bike,0.0016395575829799966
25 - 35,,,,,,,,10000 - 20000,car,0.0058687029850053455
25 - 35,,,,,,,,10000 - 20000,pt,0.013135330873607598
25 - 35,,,,,,,,10000 - 20000,ride,0.0006755783567638264
25 - 35,,,,,,,,10000 - 20000,walk,7.423688459484545e-05
25 - 35,,,,,,,,20000+,bike,0.00013675095939469654
25 - 35,,,,,,,,20000+,car,0.003561938478892821
25 - 35,,,,,,,,20000+,pt,0.006452657651336276
25 - 35,,,,,,,,20000+,ride,0.0004869189430278995
25 - 35,,,,,,,,20000+,walk,2.4664875835279084e-05
35 - 66,,,,,,,,0 - 1000,bike,0.018767973943631885
35 - 66,,,,,,,,0 - 1000,car,0.005852253062503732
35 - 66,,,,,,,,0 - 1000,pt,0.001222583895659084
35 - 66,,,,,,,,0 - 1000,ride,0.0005929641697055336
35 - 66,,,,,,,,0 - 1000,walk,0.09609966222035016
35 - 66,,,,,,,,1000 - 2000,bike,0.021440930762736468
35 - 66,,,,,,,,1000 - 2000,car,0.013402320471081593
35 - 66,,,,,,,,1000 - 2000,pt,0.006930927457045121
35 - 66,,,,,,,,1000 - 2000,ride,0.00182940376880349
35 - 66,,,,,,,,1000 - 2000,walk,0.02013373771019918
35 - 66,,,,,,,,2000 - 5000,bike,0.02867892858019107
35 - 66,,,,,,,,2000 - 5000,car,0.0306540140499963
35 - 66,,,,,,,,2000 - 5000,pt,0.02511400281828082
35 - 66,,,,,,,,2000 - 5000,ride,0.003962382877969196
35 - 66,,,,,,,,2000 - 5000,walk,0.00586928668118051
35 - 66,,,,,,,,5000 - 10000,bike,0.016246350428763018
35 - 66,,,,,,,,5000 - 10000,car,0.033073853486548795
35 - 66,,,,,,,,5000 - 10000,pt,0.03445283159189375
35 - 66,,,,,,,,5000 - 10000,ride,0.00326402230517573
35 - 66,,,,,,,,5000 - 10000,walk,0.0007866622142723672
35 - 66,,,,,,,,10000 - 20000,bike,0.004941665985263888
35 - 66,,,,,,,,10000 - 20000,car,0.02792464406813406
35 - 66,,,,,,,,10000 - 20000,pt,0.032644342492031235
35 - 66,,,,,,,,10000 - 20000,ride,0.002340623656188577
35 - 66,,,,,,,,10000 - 20000,walk,0.00021950303172812345
35 - 66,,,,,,,,20000+,bike,0.00041830098334830754
35 - 66,,,,,,,,20000+,car,0.014731449973696797
35 - 66,,,,,,,,20000+,pt,0.012346321725763982
35 - 66,,,,,,,,20000+,ride,0.0012749952596997623
35 - 66,,,,,,,,20000+,walk,0.00011121016481649163
66+,,,,,,,,0 - 1000,bike,0.004964309147280085
66+,,,,,,,,0 - 1000,car,0.0030160764667479757
66+,,,,,,,,0 - 1000,pt,0.0014202592753502637
66+,,,,,,,,0 - 1000,ride,0.0007945206733549131
66+,,,,,,,,0 - 1000,walk,0.04895388339532232
66+,,,,,,,,1000 - 2000,bike,0.004901112061815805
66+,,,,,,,,1000 - 2000,car,0.006664368538186043
66+,,,,,,,,1000 - 2000,pt,0.005694241219659483
66+,,,,,,,,1000 - 2000,ride,0.001908547601066374
66+,,,,,,,,1000 - 2000,walk,0.011752403919052076
66+,,,,,,,,2000 - 5000,bike,0.0038120195535065672
66+,,,,,,,,2000 - 5000,car,0.014182897753287854
66+,,,,,,,,2000 - 5000,pt,0.011168004816612568
66+,,,,,,,,2000 - 5000,ride,0.003960002311818075
66+,,,,,,,,2000 - 5000,walk,0.003213275887589475
66+,,,,,,,,5000 - 10000,bike,0.0010309422669415914
66+,,,,,,,,5000 - 10000,car,0.010764972033622977
66+,,,,,,,,5000 - 10000,pt,0.009085791020194418
66+,,,,,,,,5000 - 10000,ride,0.0029652986791929787
66+,,,,,,,,5000 - 10000,walk,0.0003558709820776099
66+,,,,,,,,10000 - 20000,bike,0.0003453780571514728
66+,,,,,,,,10000 - 20000,car,0.006129189784084991
66+,,,,,,,,10000 - 20000,pt,0.00626965789970863
66+,,,,,,,,10000 - 20000,ride,0.002047930484398672
66+,,,,,,,,10000 - 20000,walk,0.000165785513990103
66+,,,,,,,,20000+,bike,4.3904512818103214e-05
66+,,,,,,,,20000+,car,0.0028351117889988684
66+,,,,,,,,20000+,pt,0.0020904161717707347
66+,,,,,,,,20000+,ride,0.0011209242657942713
66+,,,,,,,,20000+,walk,1.2683217669157984e-05
,0 - 250,,,,,,,0 - 1000,bike,2.6817980881522006e-05
,0 - 250,,,,,,,0 - 1000,car,0.0
,0 - 250,,,,,,,0 - 1000,pt,7.081632101780789e-06
,0 - 250,,,,,,,0 - 1000,ride,1.099488199169362e-05
,0 - 250,,,,,,,0 - 1000,walk,0.00029213941009935277
,0 - 250,,,,,,,1000 - 2000,bike,9.127526762096248e-05
,0 - 250,,,,,,,1000 - 2000,car,1.5417599031601627e-05
,0 - 250,,,,,,,1000 - 2000,pt,9.13070269790295e-06
,0 - 250,,,,,,,1000 - 2000,ride,7.706829309402262e-06
,0 - 250,,,,,,,1000 - 2000,walk,6.168358405669907e-05
,0 - 250,,,,,,,2000 - 5000,bike,3.606312083237824e-05
,0 - 250,,,,,,,2000 - 5000,car,3.788524074863703e-05
,0 - 250,,,,,,,2000 - 5000,pt,0.00012376180482852193
,0 - 250,,,,,,,2000 - 5000,ride,3.2005905970548754e-05
,0 - 250,,,,,,,2000 - 5000,walk,1.4436621843694939e-05
,0 - 250,,,,,,,5000 - 10000,bike,3.869455002990049e-05
,0 - 250,,,,,,,5000 - 10000,car,5.169455253126882e-06
,0 - 250,,,,,,,5000 - 10000,pt,0.00015675144713207627
,0 - 250,,,,,,,5000 - 10000,ride,1.3542542433728299e-05
,0 - 250,,,,,,,5000 - 10000,walk,0.0
,0 - 250,,,,,,,10000 - 20000,bike,0.0
,0 - 250,,,,,,,10000 - 20000,car,1.9646168436256148e-05
,0 - 250,,,,,,,10000 - 20000,pt,0.00010575930042023424
,0 - 250,,,,,,,10000 - 20000,ride,0.0
,0 - 250,,,,,,,10000 - 20000,walk,0.0
,0 - 250,,,,,,,20000+,bike,0.0
,0 - 250,,,,,,,20000+,car,4.490721209609403e-06
,0 - 250,,,,,,,20000+,pt,9.547641228080345e-06
,0 - 250,,,,,,,20000+,ride,0.0
,0 - 250,,,,,,,20000+,walk,0.0
,250 - 500,,,,,,,0 - 1000,bike,0.0004526266103016233
,250 - 500,,,,,,,0 - 1000,car,0.00011702156257698218
,250 - 500,,,,,,,0 - 1000,pt,9.521321965070848e-05
,250 - 500,,,,,,,0 - 1000,ride,1.8945329991383766e-05
,250 - 500,,,,,,,0 - 1000,walk,0.003141730432709604
,250 - 500,,,,,,,1000 - 2000,bike,0.0006852714000752378
,250 - 500,,,,,,,1000 - 2000,car,0.0002658987001448674
,250 - 500,,,,,,,1000 - 2000,pt,0.0005158270732702192
,250 - 500,,,,,,,1000 - 2000,ride,9.643807953878547e-05
,250 - 500,,,,,,,1000 - 2000,walk,0.0008586716700578453
,250 - 500,,,,,,,2000 - 5000,bike,0.000816996971831745
,250 - 500,,,,,,,2000 - 5000,car,0.00025084033131776695
,250 - 500,,,,,,,2000 - 5000,pt,0.0016046331636607998
,250 - 500,,,,,,,2000 - 5000,ride,0.00016015015948350582
,250 - 500,,,,,,,2000 - 5000,walk,0.0001771044255964236
,250 - 500,,,,,,,5000 - 10000,bike,0.0004070484126226708
,250 - 500,,,,,,,5000 - 10000,car,0.0003009415923710314
,250 - 500,,,,,,,5000 - 10000,pt,0.001992932709619861
,250 - 500,,,,,,,5000 - 10000,ride,0.0002116537855789152
,250 - 500,,,,,,,5000 - 10000,walk,0.0
,250 - 500,,,,,,,10000 - 20000,bike,3.069669396421709e-05
,250 - 500,,,,,,,10000 - 20000,car,0.0002588696305647477
,250 - 500,,,,,,,10000 - 20000,pt,0.00168624331418695
,250 - 500,,,,,,,10000 - 20000,ride,0.00013053012868380584
,250 - 500,,,,,,,10000 - 20000,walk,5.145651420926275e-05
,250 - 500,,,,,,,20000+,bike,0.0
,250 - 500,,,,,,,20000+,car,0.0002328447764409568
,250 - 500,,,,,,,20000+,pt,0.00048049254885083425
,250 - 500,,,,,,,20000+,ride,0.0001364499656363824
,250 - 500,,,,,,,20000+,walk,0.0
,500 - 750,,,,,,,0 - 1000,bike,0.0016044173267123966
,500 - 750,,,,,,,0 - 1000,car,0.0002475497865657246
,500 - 750,,,,,,,0 - 1000,pt,0.0005338891855387484
,500 - 750,,,,,,,0 - 1000,ride,9.19520271715278e-05
,500 - 750,,,,,,,0 - 1000,walk,0.010966389592051623
,500 - 750,,,,,,,1000 - 2000,bike,0.0019079326542448922
,500 - 750,,,,,,,1000 - 2000,car,0.0007231134740240481
,500 - 750,,,,,,,1000 - 2000,pt,0.0013775259207801302
,500 - 750,,,,,,,1000 - 2000,ride,0.0003863402029779509
,500 - 750,,,,,,,1000 - 2000,walk,0.0033171664835705255
,500 - 750,,,,,,,2000 - 5000,bike,0.002404807679287713
,500 - 750,,,,,,,2000 - 5000,car,0.001241637391144829
,500 - 750,,,,,,,2000 - 5000,pt,0.00424174653711301
,500 - 750,,,,,,,2000 - 5000,ride,0.00055185654782037
,500 - 750,,,,,,,2000 - 5000,walk,0.0010046898807852618
,500 - 750,,,,,,,5000 - 10000,bike,0.001082871234444175
,500 - 750,,,,,,,5000 - 10000,car,0.0009992650212695836
,500 - 750,,,,,,,5000 - 10000,pt,0.004404633935595963
,500 - 750,,,,,,,5000 - 10000,ride,0.00024700945383630075
,500 - 750,,,,,,,5000 - 10000,walk,6.817554353221135e-05
,500 - 750,,,,,,,10000 - 20000,bike,0.0002392715202957035
,500 - 750,,,,,,,10000 - 20000,car,0.0005915434895591272
,500 - 750,,,,,,,10000 - 20000,pt,0.003040452431696322
,500 - 750,,,,,,,10000 - 20000,ride,0.00021447918674083466
,500 - 750,,,,,,,10000 - 20000,walk,4.8309609326598734e-05
,500 - 750,,,,,,,20000+,bike,4.3175682606803336e-05
,500 - 750,,,,,,,20000+,car,0.00029828902525813416
,500 - 750,,,,,,,20000+,pt,0.0011225320756276707
,500 - 750,,,,,,,20000+,ride,8.002698708520746e-05
,500 - 750,,,,,,,20000+,walk,0.0
,750 - 1000,,,,,,,0 - 1000,bike,0.001557783789420834
,750 - 1000,,,,,,,0 - 1000,car,0.0003017804820195297
,750 - 1000,,,,,,,0 - 1000,pt,0.00013275322453572326
,750 - 1000,,,,,,,0 - 1000,ride,0.0001808929588246835
,750 - 1000,,,,,,,0 - 1000,walk,0.009195450582569886
,750 - 1000,,,,,,,1000 - 2000,bike,0.001811600445241936
,750 - 1000,,,,,,,1000 - 2000,car,0.0007213417109978509
,750 - 1000,,,,,,,1000 - 2000,pt,0.0011057421617020576
,750 - 1000,,,,,,,1000 - 2000,ride,0.0004695181262837383
,750 - 1000,,,,,,,1000 - 2000,walk,0.0021961864752458662
,750 - 1000,,,,,,,2000 - 5000,bike,0.0019879636880510356
,750 - 1000,,,,,,,2000 - 5000,car,0.0019026090345941509
,750 - 1000,,,,,,,2000 - 5000,pt,0.0033014814094415065
,750 - 1000,,,,,,,2000 - 5000,ride,0.001050341323907605
,750 - 1000,,,,,,,2000 - 5000,walk,0.0005884377950511149
,750 - 1000,,,,,,,5000 - 10000,bike,0.0007357724642776452
,750 - 1000,,,,,,,5000 - 10000,car,0.00144140771995437
,750 - 1000,,,,,,,5000 - 10000,pt,0.004067934952176957
,750 - 1000,,,,,,,5000 - 10000,ride,0.0007005331038533912
,750 - 1000,,,,,,,5000 - 10000,walk,8.651564550509471e-05
,750 - 1000,,,,,,,10000 - 20000,bike,0.0002124660712414159
,750 - 1000,,,,,,,10000 - 20000,car,0.0012130890236360422
,750 - 1000,,,,,,,10000 - 20000,pt,0.0025880509079251293
,750 - 1000,,,,,,,10000 - 20000,ride,0.00018349925078986145
,750 - 1000,,,,,,,10000 - 20000,walk,6.265641420505062e-06
,750 - 1000,,,,,,,20000+,bike,1.658281709811077e-05
,750 - 1000,,,,,,,20000+,car,0.000462507743798652
,750 - 1000,,,,,,,20000+,pt,0.0009691482989187765
,750 - 1000,,,,,,,20000+,ride,0.0001910857373083732
,750 - 1000,,,,,,,20000+,walk,4.210886806988719e-06
,1000 - 1250,,,,,,,0 - 1000,bike,0.005140737684277624
,1000 - 1250,,,,,,,0 - 1000,car,0.0011348570712946932
,1000 - 1250,,,,,,,0 - 1000,pt,0.0006068485538338614
,1000 - 1250,,,,,,,0 - 1000,ride,0.00039816269840160865
,1000 - 1250,,,,,,,0 - 1000,walk,0.03424080706841217
,1000 - 1250,,,,,,,1000 - 2000,bike,0.006243522364754531
,1000 - 1250,,,,,,,1000 - 2000,car,0.0026052225214295436
,1000 - 1250,,,,,,,1000 - 2000,pt,0.0036473550362372056
,1000 - 1250,,,,,,,1000 - 2000,ride,0.001091346629889953
,1000 - 1250,,,,,,,1000 - 2000,walk,0.007346578393795998
,1000 - 1250,,,,,,,2000 - 5000,bike,0.0069019800892068306
,1000 - 1250,,,,,,,2000 - 5000,car,0.005720706907815429
,1000 - 1250,,,,,,,2000 - 5000,pt,0.011612258844386773
,1000 - 1250,,,,,,,2000 - 5000,ride,0.001987722762442401
,1000 - 1250,,,,,,,2000 - 5000,walk,0.002136770013802663
,1000 - 1250,,,,,,,5000 - 10000,bike,0.0030316363647898033
,1000 - 1250,,,,,,,5000 - 10000,car,0.00592201594256894
,1000 - 1250,,,,,,,5000 - 10000,pt,0.012966756186892267
,1000 - 1250,,,,,,,5000 - 10000,ride,0.0016191727030210913
,1000 - 1250,,,,,,,5000 - 10000,walk,0.00020383875325459856
,1000 - 1250,,,,,,,10000 - 20000,bike,0.000798983154930267
,1000 - 1250,,,,,,,10000 - 20000,car,0.004259332936120469
,1000 - 1250,,,,,,,10000 - 20000,pt,0.00881817988960835
,1000 - 1250,,,,,,,10000 - 20000,ride,0.0009950214586977768
,1000 - 1250,,,,,,,10000 - 20000,walk,6.615061188657592e-05
,1000 - 1250,,,,,,,20000+,bike,6.726757487195397e-05
,1000 - 1250,,,,,,,20000+,car,0.0017397543604255339
,1000 - 1250,,,,,,,20000+,pt,0.003515439690157931
,1000 - 1250,,,,,,,20000+,ride,0.0004083986901198752
,1000 - 1250,,,,,,,20000+,walk,3.7373746836820586e-05
,1250 - 1500,,,,,,,0 - 1000,bike,0.0027506816531299005
,1250 - 1500,,,,,,,0 - 1000,car,0.00039620087241017593
,1250 - 1500,,,,,,,0 - 1000,pt,0.00017274679444249165
,1250 - 1500,,,,,,,0 - 1000,ride,0.0001790645713376673
,1250 - 1500,,,,,,,0 - 1000,walk,0.01056029681134372
,1250 - 1500,,,,,,,1000 - 2000,bike,0.00314137385482278
,1250 - 1500,,,,,,,1000 - 2000,car,0.0007510606012978626
,1250 - 1500,,,,,,,1000 - 2000,pt,0.0008866422562015166
,1250 - 1500,,,,,,,1000 - 2000,ride,0.0007134300923922614
,1250 - 1500,,,,,,,1000 - 2000,walk,0.0020915974882605944
,1250 - 1500,,,,,,,2000 - 5000,bike,0.0029515161365328956
,1250 - 1500,,,,,,,2000 - 5000,car,0.0019167753395930064
,1250 - 1500,,,,,,,2000 - 5000,pt,0.0037361979081007753
,1250 - 1500,,,,,,,2000 - 5000,ride,0.001239246394762216
,1250 - 1500,,,,,,,2000 - 5000,walk,0.0005430196032864821
,1250 - 1500,,,,,,,5000 - 10000,bike,0.0011261056890573243
,1250 - 1500,,,,,,,5000 - 10000,car,0.002084544564978577
,1250 - 1500,,,,,,,5000 - 10000,pt,0.003444094032546756
,1250 - 1500,,,,,,,5000 - 10000,ride,0.001010991449737356
,1250 - 1500,,,,,,,5000 - 10000,walk,3.670382767236849e-05
,1250 - 1500,,,,,,,10000 - 20000,bike,0.0002541338337440016
,1250 - 1500,,,,,,,10000 - 20000,car,0.0015220230391215146
,1250 - 1500,,,,,,,10000 - 20000,pt,0.0025856588509878733
,1250 - 1500,,,,,,,10000 - 20000,ride,0.0003234711300225291
,1250 - 1500,,,,,,,10000 - 20000,walk,3.327946792911335e-05
,1250 - 1500,,,,,,,20000+,bike,4.5438896028890605e-05
,1250 - 1500,,,,,,,20000+,car,0.0008217589218094365
,1250 - 1500,,,,,,,20000+,pt,0.0008111055346934478
,1250 - 1500,,,,,,,20000+,ride,0.00012224599057089432
,1250 - 1500,,,,,,,20000+,walk,1.8474381001620013e-05
,1500 - 1750,,,,,,,0 - 1000,bike,0.004152085636797644
,1500 - 1750,,,,,,,0 - 1000,car,0.0010877487798177882
,1500 - 1750,,,,,,,0 - 1000,pt,0.00025645105591402096
,1500 - 1750,,,,,,,0 - 1000,ride,0.0006181474706934831
,1500 - 1750,,,,,,,0 - 1000,walk,0.021399079370475603
,1500 - 1750,,,,,,,1000 - 2000,bike,0.004342774641327731
,1500 - 1750,,,,,,,1000 - 2000,car,0.0026092371827537747
,1500 - 1750,,,,,,,1000 - 2000,pt,0.0013952937776845144
,1500 - 1750,,,,,,,1000 - 2000,ride,0.0015108775819718538
,1500 - 1750,,,,,,,1000 - 2000,walk,0.0050691958984003
,1500 - 1750,,,,,,,2000 - 5000,bike,0.005271252403522902
